salesperson_name,client_name,month_year,total_amount
MOHAMED,BESAPACK LIMITED,24-May,264111.12
MOHAMED,CHANDARIA INDUSTRIES LTD,24-May,61828
MOHAMED,DAVID FOSIL,24-May,24035.2
MOHAMED,EXHIBIT IT SOLUTIONS LIMITED,24-May,45750.4
MOHAMED,GADENIA FOODS ENTERPRISES,24-May,25056
MOHAMED,Gonas Best Limited,24-May,617120
MOHAMED,JACKSON MUREMERA,24-May,154512
MOHAMED,MAGGY POUCHES,24-May,85840
MOHAMED,MEILLEUR PRINT LTD,24-May,37855.44
MOHAMED,PHILIP MOSES,24-May,120176
MOHAMED,PLASITEK LIMITED,24-May,160776
MOHAMED,SUN COUNTRY FOOD AND BEVERAGE LIMITED,24-May,83710.24
MOHAMED,ULTRA CHEMICAL INDUSTRIES LTD,24-May,111452.8
MOHAMED,VIPINGO INDUSTRIES,24-May,274245.344
MOHAMED,WAKAMASTER ENTERPRISES,24-May,127498.5
MOHAMED,ZEIZU COMPANY LIMITED,24-May,111389
JUDY,GUANGO DAIRY PRODUCTS LTD,24-May,21529.6
JUDY,MELANGINE DAIRIES LIMITED,24-May,26100
JUDY,NAMINI INVESTMENT LIMITED,24-May,36748.8
JUDY,VINES COMMODITY TRADERS,24-May,113865.6
GRACE,GRACE TAYEBWA - DR,24-May,309871.8272
GRACE,JUST MILK LIMITED (UG),24-May,328173.2324
GRACE,KITUZI HEALTH DRINK,24-May,927600.4623
GRACE,QUALITY DAIRY PRODUCTS,24-May,167616.3632
ESTHER,AQUASHINE LIMITED,24-May,6950.72
ESTHER,FINE URBAN REAL ESTATE CONSTRUCTION AND INTERIORS CO,24-May,7313.8
ESTHER,GLOBAL MARK FOODS LTD,24-May,18096
ESTHER,IDEAL MANUFACTURING COMPANY LIMITED,24-May,71270.4
ESTHER,MAMUJEE PRODUCTS LTD,24-May,2612969.412
ESTHER,TANGA PHARMACEUTICAL & PLASTIC,24-May,9629883.29
ESTHER,ZANFOOD & TEA COMPANY LIMITED,24-May,59160
CAROL,BENARD WAKABA GITHAIGA,24-May,66259.896
CAROL,IZYCUT LABELS,24-May,4670.16
CAROL,MURPHY CHEMICALS,24-May,28814.4
CAROL,SHIZUKA TRADERS LIMITED,24-May,222720
CAROL,VIVO ENERGY KENYA LIMITED,24-May,38840.28
YEMANE,ALMA AGRO GROUP,24-Jun,66282.3072
YEMANE,CITY LINK WATER FACTORY COMPANY LIMITED,24-Jun,437168.623
YEMANE,ELIM WATER COMPANY,24-Jun,39959.4
YEMANE,ELITE WATER FACTORY,24-Jun,33408
YEMANE,GOLDEN KEY TRADING LTD,24-Jun,553417.7103
YEMANE,GREEN FOOD LTD,24-Jun,1.46518
YEMANE,NEGEV TA TSION CO.LTD,24-Jun,233368.5036
YEMANE,RAHMA PURIFIED WATER,24-Jun,88670.4
YEMANE,ZARA ENTERPRISES SRL,24-Jun,2001253.331
TONY,AQUAMIST LIMITED,24-Jun,1344258.866
TONY,BIDCO AFRICA LIMITED DR,24-Jun,571371.1776
TONY,BLOWPLAST LIMITED,24-Jun,925535.696
TONY,BOBMIL INDUSTRIES LTD DR,24-Jun,87000
TONY,CANON CHEMICALS LTD,24-Jun,224640.96
TONY,CAPWELL INDUSTRIES LIMITED,24-Jun,358962
TONY,CNDY CREATIONS K LIMITED,24-Jun,67280
TONY,DARFORDS INDUSTRIES LIMITED,24-Jun,80736
TONY,DELIROSA LIMITED,24-Jun,20735
TONY,EDIBLE OIL PRODUCTS LIMITED,24-Jun,841457.04
TONY,GENERAL PLASTICS LIMITED,24-Jun,740264.208
TONY,GLAXOSMITHKLINE LIMITED,24-Jun,47289.72
TONY,GOLDEN AFRICA KENYA LIMITED,24-Jun,636940.34
TONY,IZZI BRUNCH AND CAKE LTD,24-Jun,175508
TONY,KEVIAN KENYA LIMITED,24-Jun,314465.5368
TONY,MENENGAI OIL REFINERIES LIMITED,24-Jun,188382.144
TONY,MVITA OIL,24-Jun,2361458.4
TONY,PLUS EX PRODUCTS,24-Jun,54827.4
TONY,PZ CUSSONS EAST AFRICA LIMITED,24-Jun,769459.436
TONY,RAINFOREST FARMLANDS KENYA PUBLIC LIMITED COMPANY,24-Jun,107328.826
TONY,SILAFRICA  KENYA LIMITED,24-Jun,744773.36
TONY,TECHPAK INDUSTRIES LIMITED,24-Jun,6966016.87
SUZY,OLA ENERGY KENYA LTD,24-Jun,290281.88
SHIV,AMITECH AUTO MOBILE LIMITED,24-Jun,3364
SHIV,BETA HEALTHCARE INTERNATIONAL,24-Jun,481095.5
SHIV,CHEMI & COTEX INDUSTRIES LTD,24-Jun,1320099.538
SHIV,EAST AFRICAN FOODS & BEVERAGES LTD,24-Jun,13486.85395
SHIV,GALAXY FOODS AND BEVERAGES,24-Jun,1208372.256
SHIV,GREEN FOOD LTD,24-Jun,-0.666
SHIV,JUSTUS MWANGI,24-Jun,5100
SHIV,PLANET IMPORTER EAST AFRICA LIMITED,24-Jun,49590
SHIV,RELIANCE HOTELS LTD,24-Jun,30450
SHIV,S. C. JOHNSON & SON KENYA LIMITED,24-Jun,40020
SHIV,SUPERSLEEK LIMITED DR,24-Jun,338715.36
SHIV,T.M.ABDULHUSEIN & SONS,24-Jun,-3340.8
SHIV,TOTAL KENYA LIMITED DR,24-Jun,1312515.211
SHIV,ZARA ENTERPRISES SRL,24-Jun,332436.9004
SHEENA,AFRICA FUTURE VENTURES LIMITED,24-Jun,19604
SHEENA,CLIQUE LIMITED,24-Jun,18850
SHEENA,FLORENZA LIMITED,24-Jun,2204
SHEENA,GENERICS AFRICA LIMITED,24-Jun,16240
SHEENA,JANI COSMETICS KENYA LTD,24-Jun,45255.08
SHEENA,JUMBO SPICES,24-Jun,230700.8
SHEENA,KENPOLY MANUFACTURERS LIMITED,24-Jun,669651.8992
SHEENA,KENYA SWEETS LIMITED,24-Jun,6960
SHEENA,KEYMEDIA AGENCY LTD,24-Jun,134341.944
SHEENA,LAKI LAKI LTD,24-Jun,179904.69
SHEENA,MALACHITE LIMITED - DR,24-Jun,2899712.018
SHEENA,MART NETWORKS KENYA LIMITED,24-Jun,4828.848
SHEENA,MEDISEL (KENYA) LIMITED,24-Jun,570778.4
SHEENA,MOGAS TANZANIA LIMITED,24-Jun,2389075.291
SHEENA,NABICO ENTERPRISES LIMITED,24-Jun,30997.056
SHEENA,NESTLE KENYA LIMITED,24-Jun,306163.44
SHEENA,PRADIP ENTERPRISES (EA) LTD,24-Jun,37236
SHEENA,REX INTERNATIONAL LTD,24-Jun,9744
SHEENA,ROSETO LIMITED,24-Jun,26680
SHEENA,ROSHNI DISTRIBUTORS LIMITED,24-Jun,147726
SHEENA,ROYAL SNACKS LTD,24-Jun,210399.756
SHEENA,SABIHAH OILS LIMITED,24-Jun,32480
SHEENA,SOYS LIMITED,24-Jun,8012.004
SHEENA,TANIA EAST AFRICA LTD DR,24-Jun,13340
SHEENA,TOP FOOD LIMITED,24-Jun,324810.3936
SHEENA,TYPSY GENERAL SUPPLIES,24-Jun,589570
SHEENA,VIVA GLOBAL LIMITED,24-Jun,41634.72
SHEENA,WARIDI PACKAGING ENTERPRISES,24-Jun,3480
SHEENA,X-CENTRIC LIMITED,24-Jun,8120
RACHAEL,ALPHA BREEZE ENTERPRISES,24-Jun,142329.68
RACHAEL,CITIQUEST,24-Jun,5568
RACHAEL,GENERIC BRANDS LTD,24-Jun,46400
RACHAEL,KENYA NUT COMPANY LIMITED,24-Jun,8126.96
RACHAEL,LOHMAN CHEMICALS & SOLVENTS LTD,24-Jun,10672
RACHAEL,LUFION MANUFACTURERS,24-Jun,18676
RACHAEL,METAL CROWN,24-Jun,207176
RACHAEL,PLANT POWER NUTRITION CO.LIMITED,24-Jun,25520
RACHAEL,RELIABLE PACKERS LIMITED,24-Jun,3021054.213
RACHAEL,ROBBINS EAST AFRICA LTD,24-Jun,3132
PETER KATU,AQUAVIST PREMIUM WATER LIMITED,24-Jun,23200
PETER KATU,DEMKA DAIRY LTD,24-Jun,1187144
PETER KATU,ECOFIX (K) LIMITED,24-Jun,1856
PETER KATU,ELEGANT PRINTING WORKS LIMITED,24-Jun,148480
PETER KATU,FARMING SOLUTIONS LIMITED,24-Jun,165923.5
PETER KATU,HAPPY COW LIMITED,24-Jun,785552
PETER KATU,KATHY'S FRESH LTD,24-Jun,25520
PETER KATU,KINGS FOOD PROCESSERS LIMITED,24-Jun,148108.8
PETER KATU,LABCHEM LIMITED,24-Jun,12572.312
PETER KATU,LOKI VENTURES LIMITED,24-Jun,7830
PETER KATU,MELPHINA COMPANY LIMITED,24-Jun,84448
PETER KATU,MURPHY CHEMICALS EAST AFRICA LIMITED,24-Jun,9396
PETER KATU,NAMINI INVESTMENT LIMITED,24-Jun,8700
PETER KATU,NIA COSMETICS LIMITED,24-Jun,225040
PETER KATU,ORTEGIA COMMODITIES LTD,24-Jun,5800
PETER KATU,PALM HOUSE DAIRIES,24-Jun,225504
PETER KATU,POWERPOINT SYSTEMS EAST AFRICA LIMITED,24-Jun,3480
PETER KATU,SINGLE LINE INVESTMENTS K LIMITED,24-Jun,35728
PETER KATU,SIVAT AGRIBUSINESS LIMITED,24-Jun,46864
PETER KATU,SLOPES CREAMERIES KENYA LTD,24-Jun,49300
PETER KATU,TATU MILK LIMITED,24-Jun,490705.752
PETER KATU,TOP COW DAIRIES LTD,24-Jun,108576
PETER KATU,UPLANDS DAIRIES LIMITED,24-Jun,58000
NAHASHON,MEDITEC EA FAIRLIFE LIMITED,24-Jun,61770
NAHASHON,SAVANNAH BRANDS COMPANY LIMITED,24-Jun,36018
MOSES,ADVENT LIMITED,24-Jun,776455.7633
MOSES,INGABO DAIRY LTD,24-Jun,46400
MOSES,ISHYO FOODS LIMITED,24-Jun,544087.1904
MOSES,ORIBUT COMPANY LIMITED,24-Jun,202254.75
MOHAMED,ADSOPACK INDUSTRIES LIMITED,24-Jun,83102.4
MOHAMED,ALESHA BRANDS LIMITED,24-Jun,147958
MOHAMED,BESAPACK LIMITED,24-Jun,409317.6
MOHAMED,CHANDARIA INDUSTRIES LTD,24-Jun,377614.8
MOHAMED,DAVID FOSIL,24-Jun,223184
MOHAMED,EXHIBIT IT SOLUTIONS LIMITED,24-Jun,94841.6
MOHAMED,GADENIA FOODS ENTERPRISES,24-Jun,33779.2
MOHAMED,JACKSON MUREMERA,24-Jun,154512
MOHAMED,JOSQUINE PACKAGING LIMITED,24-Jun,429200
MOHAMED,MAGGY POUCHES,24-Jun,34336
MOHAMED,PHILIP MOSES,24-Jun,240352
MOHAMED,PLASITEK LIMITED,24-Jun,149408
MOHAMED,SUN COUNTRY FOOD AND BEVERAGE LIMITED,24-Jun,34800
MOHAMED,ULTRA CHEMICAL INDUSTRIES LTD,24-Jun,197478.4
MOHAMED,VIPINGO INDUSTRIES,24-Jun,263888.864
JUDY,BRANDFACET SOLUTIONS LTD,24-Jun,10672
JUDY,FAHTANNAH FOODS LTD,24-Jun,13572
JUDY,GUANGO DAIRY PRODUCTS LTD,24-Jun,13920
JUDY,MELANGINE DAIRIES LIMITED,24-Jun,196040
JUDY,VINES COMMODITY TRADERS,24-Jun,2614.64
GRACE,BARU AGRO PROCESSING,24-Jun,2109.24
GRACE,GLORRIE INDUSTRIES LTD,24-Jun,393.75
GRACE,GRACE TAYEBWA - DR,24-Jun,1510.0097
GRACE,GRAJAN PACKAGING SOLUTIONS,24-Jun,693.98208
GRACE,JUST MILK LIMITED (UG),24-Jun,1123.152
GRACE,KITUZI HEALTH DRINK,24-Jun,3928.00902
GRACE,MUBARAK,24-Jun,28.1
GRACE,PREMIER DAIRIES LTD (U),24-Jun,117640.4736
GRACE,ROYAL CARE COSMETICS U LTD,24-Jun,992496.211
ESTHER,GALAXY FOODS AND BEVERAGES,24-Jun,2107032.522
ESTHER,GLOBAL MARK FOODS LTD,24-Jun,468176
ESTHER,SPALLIC TRADE LABELS,24-Jun,8120
ESTHER,TANGA PHARMACEUTICAL & PLASTIC,24-Jun,9495796.238
ESTHER,TOTAL KENYA LIMITED DR,24-Jun,526818.5423
ESTHER,ZAADA PURIFIED DRNKING WATER LIMITED,24-Jun,224576
ESTHER,ZANFOOD & TEA COMPANY LIMITED,24-Jun,69530.4
CAROL,BIZMED  SOLUTION,24-Jun,10001.52
CAROL,IZYCUT LABELS,24-Jun,10718.4
CAROL,JACNZU AGENCIES,24-Jun,85048
CAROL,KAZIFRESH LIMITED,24-Jun,108423.172
CAROL,LELACH DAIRIES LIMITED,24-Jun,12829.6
CAROL,MAGNUM ENGINEERS,24-Jun,7540
CAROL,MARY NJERI,24-Jun,188755.2
CAROL,SHIZUKA TRADERS LIMITED,24-Jun,181656
CAROL,VIVO ENERGY KENYA LIMITED,24-Jun,25530.44
CAROL,VUMUAL WATERSITES AGENCIES,24-Jun,153004
YVETTE,MCDAVE HOLDING LIMIED,24-Jul,110385.6
YVETTE,MINAHIL K LIMITED,24-Jul,81790.092
YEMANE,ADVENT LIMITED,24-Jul,804040.9359
YEMANE,AQUA PALM C. LTD,24-Jul,567313.9912
YEMANE,BEST BEVERAGE CO. LTD,24-Jul,212704.126
YEMANE,BETA HEALTHCARE INTERNATIONAL,24-Jul,1506477.349
YEMANE,BLESSED DAIRIES LTD,24-Jul,1537022.204
YEMANE,DAERONA GREEN GENERAL TRADING CO.LTD,24-Jul,319675.2
YEMANE,ELIM WATER COMPANY,24-Jul,32899.906
YEMANE,ELITE WATER FACTORY,24-Jul,355641.324
YEMANE,FAHTANNAH FOODS LTD,24-Jul,20049.44
YEMANE,GOLDEN KEY TRADING LTD,24-Jul,1122119.891
YEMANE,HRP PACKAGING,24-Jul,1009893.916
YEMANE,INGABO DAIRY LTD,24-Jul,63000
YEMANE,JIT BEVERAGE COMPANY,24-Jul,810563.41
YEMANE,LUNZA FOODS LIMITED,24-Jul,13746
YEMANE,MASAKA CREAMERY LIMITED,24-Jul,14560
YEMANE,NEGEV TA TSION CO.LTD,24-Jul,26639.6
YEMANE,RAINBOW BUSINESS SOLUTIONS,24-Jul,573499.0217
YEMANE,ZARA ENTERPRISES SRL,24-Jul,2293823.905
TONY,AQUAMIST LIMITED,24-Jul,1717840.358
TONY,B.BRAUN PHARMACEUTICALS EPZ LIMITED,24-Jul,-2400
TONY,BIDCO AFRICA LIMITED DR,24-Jul,605811.3449
TONY,BLOWPLAST LIMITED,24-Jul,894150.91
TONY,BOBMIL INDUSTRIES LTD DR,24-Jul,15144.96
TONY,CANON CHEMICALS LTD,24-Jul,95062
TONY,CAPWELL INDUSTRIES LIMITED,24-Jul,78786.504
TONY,CNDY CREATIONS K LIMITED,24-Jul,26448
TONY,DELIROSA LIMITED,24-Jul,279866.24
TONY,DETERPRO ENTERPRISES,24-Jul,35449.6
TONY,EDIBLE OIL PRODUCTS LIMITED,24-Jul,316958.4
TONY,GENERAL PLASTICS LIMITED,24-Jul,700350
TONY,GOLDEN AFRICA KENYA LIMITED,24-Jul,3634552.948
TONY,KEVIAN KENYA LIMITED,24-Jul,1002033.74
TONY,MENENGAI OIL REFINERIES LIMITED,24-Jul,834519.08
TONY,PLUS EX PRODUCTS,24-Jul,88029.964
TONY,PZ CUSSONS EAST AFRICA LIMITED,24-Jul,1740181.656
TONY,RAINFOREST FARMLANDS KENYA PUBLIC LIMITED COMPANY,24-Jul,26540.8
TONY,SILAFRICA  KENYA LIMITED,24-Jul,687817.36
TONY,TECHPAK INDUSTRIES LIMITED,24-Jul,5091208.29
TONY,Ultravetis E.a. Limited,24-Jul,54984
SHIV,BRUSH MANUFACTURERS LIMITED DR,24-Jul,104400
SHIV,CHANDARANA SUPERMARKET LIMITED,24-Jul,589270.14
SHIV,DARSH INDUSTRIES LTD,24-Jul,4871913.08
SHIV,EAST AFRICAN FOODS & BEVERAGES LTD,24-Jul,175734.7813
SHIV,PLANET IMPORTER EAST AFRICA LIMITED,24-Jul,-49590
SHIV,RELIANCE HOTELS LTD,24-Jul,30450
SHIV,RICHARD MUTISO DR,24-Jul,43200
SHIV,SUPERSLEEK LIMITED DR,24-Jul,979527.2
SHIV,T.M.ABDULHUSEIN & SONS,24-Jul,565750.56
SHIV,TAIFA IMPORTS LIMITED-DR,24-Jul,2923.2
SHIV,TRI-CLOVER INDUSTRIES LIMITED,24-Jul,193140
SHEENA,AFRICA FUTURE VENTURES LIMITED,24-Jul,7607.28
SHEENA,BIZMED  SOLUTION,24-Jul,63336
SHEENA,CARTON MANUFACTURERS LIMITED,24-Jul,12441
SHEENA,CITIQUEST,24-Jul,8700
SHEENA,CLIQUE LIMITED,24-Jul,98890
SHEENA,COOPER UNIFORM,24-Jul,204160
SHEENA,DEW POINT NATURALS,24-Jul,7667.6
SHEENA,DORMANS COFFEE LIMITED,24-Jul,68941.12
SHEENA,ECOZYM LIMITED,24-Jul,24046.22
SHEENA,FLORENZA LIMITED,24-Jul,4408
SHEENA,GENERICS AFRICA LIMITED,24-Jul,19140
SHEENA,HEALTHY KAJUJU,24-Jul,6960
SHEENA,IZYCUT LABELS,24-Jul,17991.6
SHEENA,JANI COSMETICS KENYA LTD,24-Jul,97793.8
SHEENA,JUBILEE TISSUE INDUSTRIES LIMITED,24-Jul,19720
SHEENA,JUMBO SPICES,24-Jul,0
SHEENA,KENPOLY MANUFACTURERS LIMITED,24-Jul,815501.46
SHEENA,KEYMEDIA AGENCY LTD,24-Jul,9000
SHEENA,MALACHITE LIMITED - DR,24-Jul,2065843.188
SHEENA,MART NETWORKS KENYA LIMITED,24-Jul,5918.088
SHEENA,MEDISEL (KENYA) LIMITED,24-Jul,94455.9
SHEENA,MIA WINES & SPIRITS INTERNATIONAL,24-Jul,96894.8
SHEENA,NABICO ENTERPRISES LIMITED,24-Jul,24011.304
SHEENA,PRADIP ENTERPRISES (EA) LTD,24-Jul,720012
SHEENA,ROBBINS EAST AFRICA LTD,24-Jul,5510
SHEENA,ROSETO LIMITED,24-Jul,26680
SHEENA,ROSHNI DISTRIBUTORS LIMITED,24-Jul,42551.7
SHEENA,ROYAL SNACKS LTD,24-Jul,7308
SHEENA,SIERRA FLORA LIMITED,24-Jul,20978.368
SHEENA,SOUTH LEMON LIMITED,24-Jul,127600
SHEENA,SOYS LIMITED,24-Jul,32441.024
SHEENA,TANIA EAST AFRICA LTD DR,24-Jul,35078.4
SHEENA,TOP FOOD LIMITED,24-Jul,522623.5696
SHEENA,VIVA GLOBAL LIMITED,24-Jul,39125.408
SHEENA,VIVO ENERGY KENYA LIMITED,24-Jul,208.8
SHEENA,WARIDI PACKAGING ENTERPRISES,24-Jul,6612
SHEENA,ZD INDUSTRIES LIMITED,24-Jul,38114.12
RACHAEL,ALPHA BREEZE ENTERPRISES,24-Jul,363237.76
RACHAEL,GENERIC BRANDS LTD,24-Jul,92800
RACHAEL,GOLDEN DIAMOND AQUIFERS,24-Jul,44660
RACHAEL,HOUSE OF BOOCH,24-Jul,38361.2
RACHAEL,LOHMAN CHEMICALS & SOLVENTS LTD,24-Jul,3596
RACHAEL,REFRESHING SPRINGS LTD,24-Jul,55709
RACHAEL,RELIABLE PACKERS LIMITED,24-Jul,4392204.988
RACHAEL,UNIFILTERS KENYA LIMITED,24-Jul,14214.64
PETER KATU,AQUAVIST PREMIUM WATER LIMITED,24-Jul,76977.6
PETER KATU,CHEKALYN PRIME ENTERPRISES LTD,24-Jul,11030.61168
PETER KATU,DEMKA DAIRY LTD,24-Jul,380990.4
PETER KATU,ECOFIX (K) LIMITED,24-Jul,162325.76
PETER KATU,FARMING SOLUTIONS LIMITED,24-Jul,478384
PETER KATU,FORFOODS KENYA LTD,24-Jul,4640
PETER KATU,GITHUNGURI DIARY FARM CS LTD.,24-Jul,300546.14
PETER KATU,GUANGO DAIRY PRODUCTS LTD,24-Jul,21529.6
PETER KATU,HAPPY COW LIMITED,24-Jul,666675.2
PETER KATU,HASANAT VENTURES LTD,24-Jul,26749.6
PETER KATU,HK EMPIRES LIMITED,24-Jul,7888
PETER KATU,ITALIAN GELATI & FOOD PRODUCTS LTD,24-Jul,184764.8
PETER KATU,JOSHLEY KIM CHEMICALS,24-Jul,31552
PETER KATU,JOSKAB ENTERPRISES,24-Jul,43616
PETER KATU,KATHY'S FRESH LTD,24-Jul,104516
PETER KATU,KINGS FOOD PROCESSERS LIMITED,24-Jul,75724.8
PETER KATU,LAKE GAS LTD,24-Jul,41760
PETER KATU,LAKI LAKI LTD,24-Jul,850977.508
PETER KATU,LELACH DAIRIES LIMITED,24-Jul,9280
PETER KATU,LEO INVESTMENTS LTD/CONCORD,24-Jul,22940.16
PETER KATU,LOKI VENTURES LIMITED,24-Jul,6786
PETER KATU,LUFION MANUFACTURERS,24-Jul,30392
PETER KATU,MEDITEC EA FAIRLIFE LIMITED,24-Jul,2030
PETER KATU,MELPHINA COMPANY LIMITED,24-Jul,129827.2
PETER KATU,MURPHY CHEMICALS EAST AFRICA LIMITED,24-Jul,225799.8
PETER KATU,OL KALOU DAIRY (2016)LIMITED,24-Jul,153978.4
PETER KATU,PALM HOUSE DAIRIES,24-Jul,123702.4
PETER KATU,PICKED & PACKED FRESH PRODUCE LIMITED,24-Jul,79460
PETER KATU,S. C. JOHNSON & SON KENYA LIMITED,24-Jul,296148
PETER KATU,SABIHAH OILS LIMITED,24-Jul,40484
PETER KATU,SINGLE LINE INVESTMENTS K LIMITED,24-Jul,16866.4
PETER KATU,SKY DRIPS LIMITED,24-Jul,4936.96
PETER KATU,SLOPES CREAMERIES KENYA LTD,24-Jul,31900
PETER KATU,TATU MILK LIMITED,24-Jul,412300.656
PETER KATU,TOP COW DAIRIES LTD,24-Jul,150800
PETER KATU,UNI RITE SYSTEMS AND SUPPLIES LIMITED,24-Jul,16240
PETER KATU,UPLANDS DAIRIES LIMITED,24-Jul,96512
MOHAMED,ADSOPACK INDUSTRIES LIMITED,24-Jul,27932.8
MOHAMED,ALESHA BRANDS LIMITED,24-Jul,90538
MOHAMED,BESAPACK LIMITED,24-Jul,330112.8
MOHAMED,CHANDARIA INDUSTRIES LTD,24-Jul,32480
MOHAMED,DAVID FOSIL,24-Jul,206016
MOHAMED,JACKSON MUREMERA,24-Jul,137344
MOHAMED,JACNZU AGENCIES,24-Jul,130152
MOHAMED,JOSQUINE PACKAGING LIMITED,24-Jul,412032
MOHAMED,KAKIS COMPANY LIMITED,24-Jul,34800
MOHAMED,MAGGY POUCHES,24-Jul,103008
MOHAMED,NARCOL ALUMINIUM ROLLING MILLS LIMITED,24-Jul,77197.072
MOHAMED,PHILIP MOSES,24-Jul,120176
MOHAMED,PLASITEK LIMITED,24-Jul,883420.62
MOHAMED,SARAYA KENYA COMPANY LTD,24-Jul,55680
MOHAMED,SUN COUNTRY FOOD AND BEVERAGE LIMITED,24-Jul,143654.4
MOHAMED,TYPSY GENERAL SUPPLIES,24-Jul,94168.8
MOHAMED,ULTRA CHEMICAL INDUSTRIES LTD,24-Jul,575824
MOHAMED,VUMUAL WATERSITES AGENCIES,24-Jul,89260
JUDY,ASPENDOS DAIRY LTD,24-Jul,985373.6
GRACE,ROYAL CARE COSMETICS U LTD,24-Jul,97207.9004
GRACE,THADDY INVESTMENT LTD,24-Jul,90052.50384
GRACE,TWESIGYE PAUL INDUSTRIES LTD,24-Jul,783176.2684
ESTHER,CHEMI & COTEX INDUSTRIES LTD,24-Jul,12600.5308
ESTHER,GLOBAL MARK FOODS LTD,24-Jul,210377.6
ESTHER,MAMUJEE PRODUCTS LTD,24-Jul,2746836.129
ESTHER,MOGAS TANZANIA LIMITED,24-Jul,795868.7058
ESTHER,NANCIES BAKERS LTD,24-Jul,5800
ESTHER,OLA ENERGY KENYA LTD,24-Jul,1202667.584
ESTHER,QUEENSLY BITES ENTERPRISE LTD,24-Jul,14500
ESTHER,TANGA PHARMACEUTICAL & PLASTIC,24-Jul,5647573.392
ESTHER,TOTAL KENYA LIMITED DR,24-Jul,3154147.4
CAROL,ALIMP GROUP LIMITED,24-Jul,47573.5488
CAROL,BENARD WAKABA GITHAIGA,24-Jul,4100
CAROL,IDEAL MANUFACTURING COMPANY LIMITED,24-Jul,4640
YVETTE,EAST AFRICAN SEA FOOD,24-Aug,69600
YVETTE,HAZINA LOGISTICS LTD,24-Aug,142680
YVETTE,JUANCO SPS LTD,24-Aug,85260
YVETTE,MCDAVE HOLDING LIMIED,24-Aug,73729.6
YVETTE,TIMSALES LIMITED,24-Aug,68782.2
YEMANE,BETA HEALTHCARE INTERNATIONAL,24-Aug,698745.8708
YEMANE,ELITE WATER FACTORY,24-Aug,41621.71104
YEMANE,FATUMA AND HER FRIENDS COSMETICS MANUFACTURING,24-Aug,261441.0344
YEMANE,MASAKA CREAMERY LIMITED,24-Aug,980298
YEMANE,MOUNTAIN CLASSIC MB CO.LTD,24-Aug,232038.2419
YEMANE,NEGEV TA TSION CO.LTD,24-Aug,220990.7998
YEMANE,RAINBOW BUSINESS SOLUTIONS,24-Aug,729019.8051
YEMANE,TOP WATER LIMITED,24-Aug,261867.268
YEMANE,ZARA ENTERPRISES SRL,24-Aug,1367630.445
VINCENT,METRO PHARMACEUTICAL LTD,24-Aug,11600
TONY,AQUAMIST LIMITED,24-Aug,1095822.851
TONY,BIDCO AFRICA LIMITED DR,24-Aug,999261.4216
TONY,BLOWPLAST LIMITED,24-Aug,858075.548
TONY,BOBMIL INDUSTRIES LTD DR,24-Aug,261928
TONY,CANON CHEMICALS LTD,24-Aug,135970.56
TONY,CAPWELL INDUSTRIES LIMITED,24-Aug,12876
TONY,CNDY CREATIONS K LIMITED,24-Aug,34790.13536
TONY,DARFORDS INDUSTRIES LIMITED,24-Aug,149671.32
TONY,EDIBLE OIL PRODUCTS LIMITED,24-Aug,838523.4
TONY,GENERAL PLASTICS LIMITED,24-Aug,600300
TONY,GOLDEN AFRICA KENYA LIMITED,24-Aug,1150784.148
TONY,JETLAK FOODS LIMITED,24-Aug,144443.2
TONY,KEVIAN KENYA LIMITED,24-Aug,399576.3492
TONY,MENENGAI OIL REFINERIES LIMITED,24-Aug,394255.696
TONY,MVITA OIL,24-Aug,1810922.4
TONY,PLUS EX PRODUCTS,24-Aug,97461.46
TONY,PZ CUSSONS EAST AFRICA LIMITED,24-Aug,1051055.352
TONY,RAINFOREST FARMLANDS KENYA PUBLIC LIMITED COMPANY,24-Aug,81149.134
TONY,TECHPAK INDUSTRIES LIMITED,24-Aug,4639611.129
TONY,Ultravetis E.a. Limited,24-Aug,23756.8
SHIV,AMITECH AUTO MOBILE LIMITED,24-Aug,3480
SHIV,CONINX INDUSTRIES LIMITED,24-Aug,19717.8192
SHIV,GENERAL INDUSTRIES LTD,24-Aug,19836
SHIV,MAIKAR QUAILITY LTD,24-Aug,36041.2
SHIV,MILLY FRUIT PROCESSORS LTD,24-Aug,235563.52
SHIV,ORIBUT COMPANY LIMITED (USD),24-Aug,196493.6896
SHIV,PLANET IMPORTER EAST AFRICA LIMITED,24-Aug,49590
SHIV,RICHARD MUTISO DR,24-Aug,16800
SHIV,SUNKIST BAKERY LIMITED,24-Aug,502982.2876
SHIV,SUPERSLEEK LIMITED DR,24-Aug,169503.84
SHIV,T.M.ABDULHUSEIN & SONS,24-Aug,272720.64
SHIV,TAIFA IMPORTS LIMITED-DR,24-Aug,71316.8
SHIV,TIMSALES LIMITED,24-Aug,11600
SHIV,TRI-CLOVER INDUSTRIES LIMITED,24-Aug,230932.8
SHEENA,AFRICA FUTURE VENTURES LIMITED,24-Aug,9073.52
SHEENA,ALIMP GROUP LIMITED,24-Aug,8319.984
SHEENA,BIZMED  SOLUTION,24-Aug,97440
SHEENA,BLEND AFRICA LTD,24-Aug,4640
SHEENA,CHAIIWALI CAFE,24-Aug,7540
SHEENA,CITIQUEST,24-Aug,14212.32
SHEENA,CLIQUE LIMITED,24-Aug,46037.5
